CMA_name,CT_ID_NUM,GEO_ID,Population
Toronto,5350001,5350001,604.00
Toronto,5350002,5350002,657.00
Toronto,5350003,5350003,673.00
Toronto,5350004,5350004,6781.00
Toronto,5350005,5350005,5510.00
Toronto,5350006,5350006,0.00
Toronto,5350007.01,5350007.01,3325.00
Toronto,5350007.02,5350007.02,4962.00
Toronto,5350008,5350008,9282.00
Toronto,5350009,5350009,271.00
Toronto,5350010.01,5350010.01,4608.00
Toronto,5350010.02,5350010.02,7113.00
Toronto,5350011,5350011,8645.00
Toronto,5350012.01,5350012.01,5911.00
Toronto,5350012.02,5350012.02,10664.00
Toronto,5350013,5350013,10601.00
Toronto,5350014,5350014,644.00
Toronto,5350015,5350015,3411.00
Toronto,5350016,5350016,6063.00
Toronto,5350017,5350017,6883.00
Toronto,5350018,5350018,2088.00
Toronto,5350019,5350019,3127.00
Toronto,5350020,5350020,2352.00
Toronto,5350021,5350021,5081.00
Toronto,5350022,5350022,3767.00
Toronto,5350023,5350023,3340.00
Toronto,5350024,5350024,6590.00
Toronto,5350025,5350025,3277.00
Toronto,5350026,5350026,6394.00
Toronto,5350027,5350027,4459.00
Toronto,5350028,5350028,6118.00
Toronto,5350029,5350029,6495.00
Toronto,5350030,5350030,3831.00
Toronto,5350031,5350031,6176.00
Toronto,5350032,5350032,5264.00
Toronto,5350033,5350033,4979.00
Toronto,5350034.01,5350034.01,4504.00
Toronto,5350034.02,5350034.02,5207.00
Toronto,5350035,5350035,7262.00
Toronto,5350036,5350036,4915.00
Toronto,5350037,5350037,4873.00
Toronto,5350038,5350038,4029.00
Toronto,5350039,5350039,4678.00
Toronto,5350040,5350040,4904.00
Toronto,5350041,5350041,3459.00
Toronto,5350042,5350042,4532.00
Toronto,5350043,5350043,3907.00
Toronto,5350044,5350044,5033.00
Toronto,5350045,5350045,3637.00
Toronto,5350046,5350046,3380.00
Toronto,5350047.01,5350047.01,3459.00
Toronto,5350047.02,5350047.02,4189.00
Toronto,5350048,5350048,3516.00
Toronto,5350049,5350049,3641.00
Toronto,5350050.01,5350050.01,6824.00
Toronto,5350050.02,5350050.02,5952.00
Toronto,5350051,5350051,5323.00
Toronto,5350052,5350052,3886.00
Toronto,5350053,5350053,5639.00
Toronto,5350054,5350054,5810.00
Toronto,5350055,5350055,2693.00
Toronto,5350056,5350056,4778.00
Toronto,5350057,5350057,2406.00
Toronto,5350058,5350058,3869.00
Toronto,5350059,5350059,3955.00
Toronto,5350060,5350060,2400.00
Toronto,5350061,5350061,1427.00
Toronto,5350062.01,5350062.01,4981.00
Toronto,5350062.02,5350062.02,6461.00
Toronto,5350063.01,5350063.01,8293.00
Toronto,5350063.02,5350063.02,6934.00
Toronto,5350064,5350064,3858.00
Toronto,5350065,5350065,13974.00
Toronto,5350066,5350066,8032.00
Toronto,5350067,5350067,1677.00
Toronto,5350068,5350068,2344.00
Toronto,5350069,5350069,5271.00
Toronto,5350070,5350070,3416.00
Toronto,5350071,5350071,3504.00
Toronto,5350072.01,5350072.01,4641.00
Toronto,5350072.02,5350072.02,3122.00
Toronto,5350073,5350073,2751.00
Toronto,5350074,5350074,3629.00
Toronto,5350075,5350075,4060.00
Toronto,5350076,5350076,3950.00
Toronto,5350077,5350077,4476.00
Toronto,5350078,5350078,5949.00
Toronto,5350079,5350079,6991.00
Toronto,5350080.01,5350080.01,3414.00
Toronto,5350080.02,5350080.02,4485.00
Toronto,5350081,5350081,2792.00
Toronto,5350082,5350082,2605.00
Toronto,5350083,5350083,4047.00
Toronto,5350084,5350084,3754.00
Toronto,5350085,5350085,3899.00
Toronto,5350086,5350086,2679.00
Toronto,5350087,5350087,5074.00
Toronto,5350088,5350088,3016.00
Toronto,5350089,5350089,3288.00
Toronto,5350090,5350090,3680.00
Toronto,5350091.01,5350091.01,6065.00
Toronto,5350091.02,5350091.02,3359.00
Toronto,5350092,5350092,7151.00
Toronto,5350093,5350093,5634.00
Toronto,5350094,5350094,5072.00
Toronto,5350095,5350095,3130.00
Toronto,5350096,5350096,4989.00
Toronto,5350097.01,5350097.01,4290.00
Toronto,5350097.02,5350097.02,5412.00
Toronto,5350098,5350098,6785.00
Toronto,5350099,5350099,6369.00
Toronto,5350100,5350100,2518.00
Toronto,5350101,5350101,3092.00
Toronto,5350102.01,5350102.01,1516.00
Toronto,5350102.02,5350102.02,4301.00
Toronto,5350102.03,5350102.03,3121.00
Toronto,5350103,5350103,5985.00
Toronto,5350104,5350104,5314.00
Toronto,5350105,5350105,4537.00
Toronto,5350106,5350106,3880.00
Toronto,5350107,5350107,5873.00
Toronto,5350108,5350108,6137.00
Toronto,5350109,5350109,4953.00
Toronto,5350110,5350110,3393.00
Toronto,5350111,5350111,2623.00
Toronto,5350112,5350112,5031.00
Toronto,5350113,5350113,2696.00
Toronto,5350114,5350114,5318.00
Toronto,5350115,5350115,4474.00
Toronto,5350116,5350116,4194.00
Toronto,5350117,5350117,2101.00
Toronto,5350118,5350118,3900.00
Toronto,5350119,5350119,4486.00
Toronto,5350120,5350120,1360.00
Toronto,5350121,5350121,2210.00
Toronto,5350122,5350122,5931.00
Toronto,5350123,5350123,2151.00
Toronto,5350124,5350124,5354.00
Toronto,5350125,5350125,4508.00
Toronto,5350126,5350126,4106.00
Toronto,5350127,5350127,5367.00
